"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\dist\Namaste react.3464ddca.js", "JavaScript", 0, 1147, 0, 0, 1768, 31, 2946
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\dist\index.6bd02f5a.js", "JavaScript", 0, 5, 0, 0, 1, 2, 8
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\dist\index.7271efb6.js", "JavaScript", 0, 17101, 0, 0, 1845, 51, 18997
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\dist\index.7826abd7.js", "JavaScript", 0, 18768, 0, 0, 1845, 45, 20658
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\dist\index.9e4c6fd2.css", "CSS", 0, 0, 92, 0, 1, 15, 108
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\dist\index.html", "HTML", 0, 0, 0, 13, 0, 0, 13
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\index.css", "CSS", 0, 0, 92, 0, 4, 15, 111
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\index.html", "HTML", 0, 0, 0, 13, 0, 0, 13
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\package-lock.json", "JSON", 3214, 0, 0, 0, 0, 1, 3215
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\package.json", "JSON", 34, 0, 0, 0, 0, 2, 36
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\src\App.js", "JavaScript", 0, 14, 0, 0, 0, 7, 21
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\src\components\Body.js", "JavaScript", 0, 15, 0, 0, 0, 2, 17
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\src\components\Header.js", "JavaScript", 0, 22, 0, 0, 0, 1, 23
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\src\components\RestaurantCard.js", "JavaScript", 0, 27, 0, 0, 0, 1, 28
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\src\utils\constant.js", "JavaScript", 0, 4, 0, 0, 0, 1, 5
"c:\Users\Rudra Pratap Singh\Desktop\Namaste react\src\utils\mockdata.js", "JavaScript", 0, 1854, 0, 0, 0, 133, 1987
"Total", "-", 3248, 38957, 184, 26, 5464, 307, 48186
